msbottom   mchi10            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1150      750     0.00137712     0.00068719     0.00101775     0.00162812     0.00267879     0.00425753
    1150      800     0.00151478     0.00073233     0.00109571     0.00176817     0.00293767     0.00470862
    1150      850     0.00218664     0.00104177     0.00155000     0.00251762     0.00422316     0.00682217
    1150      900     0.00319421     0.00143985     0.00212370     0.00338176     0.00556606     0.00877181
    1150      950     0.00775128     0.00372397     0.00551819     0.00882265     0.01466354     0.02360236
    1150      967     0.01076811     0.00513372     0.00746082     0.01174126     0.01923029     0.03068243
    1150      983     0.00760384     0.00353924     0.00531577     0.00870985     0.01475144     0.02418711
    1150     1000     0.00682629     0.00339748     0.00499592     0.00804863     0.01350215     0.02173256
    1150     1050     0.00890546     0.00495572     0.00744595     0.01219553     0.02066396     0.03389022
    1200        1     1.62883500     0.25135727     0.54385933     1.81186698     3.64617658     5.49469982
    1200       50     0.00058637     0.00030335     0.00043505     0.00066959     0.00106989     0.00165129
    1200      100     0.00034012     0.00016669     0.00024090     0.00037764     0.00060949     0.00095044
    1200      150     0.00032281     0.00015566     0.00022611     0.00035585     0.00057436     0.00088777
    1200      200     0.00034236     0.00016523     0.00024173     0.00037786     0.00060983     0.00094260
    1200      250     0.00039167     0.00019088     0.00027494     0.00042471     0.00067873     0.00103791
    1200      300     0.00045893     0.00022442     0.00032339     0.00049978     0.00079242     0.00121836
    1200      350     0.00050467     0.00024664     0.00035349     0.00054416     0.00086301     0.00131462
    1200      400     0.00058311     0.00029718     0.00042198     0.00064450     0.00101201     0.00153805
    1200      450     0.00064184     0.00032057     0.00045979     0.00070753     0.00111948     0.00170849
    1200      500     0.00073218     0.00036871     0.00052598     0.00080645     0.00127564     0.00194666
    1200      550     0.00076324     0.00037945     0.00054851     0.00086001     0.00138786     0.00214566
    1200      600     0.00087349     0.00043310     0.00063288     0.00098942     0.00159750     0.00249068
    1200      650     0.00089047     0.00044482     0.00065262     0.00103485     0.00168664     0.00265640
    1200      700     0.00099915     0.00049405     0.00072702     0.00117187     0.00192901     0.00306573
    1200      750     0.00115379     0.00055369     0.00082369     0.00132359     0.00219896     0.00351095
    1200      800     0.00134157     0.00065565     0.00097706     0.00156982     0.00260745     0.00416330
    1200      850     0.00163080     0.00081163     0.00119330     0.00192196     0.00319522     0.00512170
    1200      900     0.00213408     0.00105017     0.00155639     0.00251127     0.00417089     0.00666033
    1200      950     0.00319776     0.00152261     0.00223066     0.00354028     0.00582851     0.00926517
    1200     1000     0.00831066     0.00372990     0.00541677     0.00852832     0.01389562     0.02216670
    1200     1017     0.01244357     0.00502076     0.00755469     0.01223634     0.02061997     0.03357221
    1200     1033     0.00869402     0.00432719     0.00634214     0.01006154     0.01664152     0.02667664
    1200     1050     0.00655833     0.00369167     0.00546667     0.00875000     0.01453333     0.02330000
    1200     1100     0.00786287     0.00474846     0.00709438     0.01157589     0.01960055     0.03190449
    1250       50     0.00062968     0.00032276     0.00046051     0.00070600     0.00111972     0.00172176
    1250      100     0.00035002     0.00017307     0.00024877     0.00038852     0.00062709     0.00096935
    1250      150     0.00031182     0.00015284     0.00022185     0.00034932     0.00056376     0.00087526
    1250      200     0.00034241     0.00016636     0.00024198     0.00037674     0.00060802     0.00093972
    1250      250     0.00037306     0.00018177     0.00026305     0.00040797     0.00065197     0.00100158
    1250      300     0.00043705     0.00021383     0.00030656     0.00047187     0.00074830     0.00114525
    1250      350     0.00049534     0.00024281     0.00034490     0.00052685     0.00082944     0.00126413
    1250      400     0.00054133     0.00027360     0.00039028     0.00059834     0.00094413     0.00144337
    1250      450     0.00063699     0.00032189     0.00045712     0.00069813     0.00110187     0.00168418
    1250      500     0.00067586     0.00034849     0.00049999     0.00076968     0.00122053     0.00187648
    1250      550     0.00074338     0.00037195     0.00053829     0.00083482     0.00133437     0.00205864
    1250      600     0.00078752     0.00039006     0.00057027     0.00089182     0.00143987     0.00223541
    1250      650     0.00085708     0.00042340     0.00062079     0.00098549     0.00160555     0.00250739
    1250      700     0.00093350     0.00046629     0.00069070     0.00110456     0.00181825     0.00286579
    1250      750     0.00109792     0.00054845     0.00080927     0.00128864     0.00212059     0.00334222
    1250      800     0.00111297     0.00054995     0.00081785     0.00132969     0.00221941     0.00355781
    1250      850     0.00124805     0.00061688     0.00092146     0.00150315     0.00252248     0.00407512
    1250      900     0.00169485     0.00083341     0.00123220     0.00199239     0.00331182     0.00530888
    1250      950     0.00233340     0.00107432     0.00159243     0.00254865     0.00423441     0.00673353
    1250     1000     0.00318742     0.00155543     0.00229313     0.00365370     0.00606862     0.00965272
    1250     1050     0.00741458     0.00359742     0.00527371     0.00836887     0.01377442     0.02207423
    1250     1067     0.01008492     0.00472988     0.00695086     0.01120363     0.01879611     0.03049330
    1250     1083     0.00914391     0.00438935     0.00649948     0.01040188     0.01744918     0.02819599
    1250     1100     0.00588619     0.00303804     0.00454588     0.00733261     0.01230851     0.01988126
    1250     1150     0.00811189     0.00437054     0.00660317     0.01086546     0.01857818     0.03045171
    1300        1     1.28896073     0.40337475     0.80487986     2.45873192     4.94815710     7.45705769
    1300       50     0.00059056     0.00030542     0.00043584     0.00066836     0.00106006     0.00162989
    1300      100     0.00035079     0.00017368     0.00025147     0.00039025     0.00062965     0.00097326
    1300      150     0.00030967     0.00015206     0.00021865     0.00034158     0.00055130     0.00085965
    1300      200     0.00033593     0.00016184     0.00023549     0.00036679     0.00059199     0.00091502
    1300      250     0.00038361     0.00018427     0.00026510     0.00041394     0.00066152     0.00102082
    1300      300     0.00043803     0.00021391     0.00030660     0.00047198     0.00074837     0.00114536
    1300      350     0.00047705     0.00023611     0.00033842     0.00052096     0.00082398     0.00125735
    1300      400     0.00051606     0.00026444     0.00037550     0.00057351     0.00090515     0.00137709
    1300      450     0.00062659     0.00031772     0.00045123     0.00068922     0.00107935     0.00164300
    1300      500     0.00069166     0.00034731     0.00049796     0.00076635     0.00121578     0.00186904
    1300      550     0.00068663     0.00034174     0.00049432     0.00076699     0.00122564     0.00189151
    1300      600     0.00071372     0.00036330     0.00052483     0.00082266     0.00132763     0.00205263
    1300      650     0.00082369     0.00041963     0.00061320     0.00095838     0.00154654     0.00241220
    1300      700     0.00088311     0.00043035     0.00063432     0.00101136     0.00166422     0.00260064
    1300      750     0.00102419     0.00049007     0.00072593     0.00116093     0.00191898     0.00303862
    1300      800     0.00105124     0.00051965     0.00077214     0.00125506     0.00210616     0.00336214
    1300      850     0.00120955     0.00060318     0.00089892     0.00144358     0.00239995     0.00384672
    1300      900     0.00131771     0.00064782     0.00097449     0.00157926     0.00264866     0.00427979
    1300      950     0.00161993     0.00073804     0.00109830     0.00178380     0.00299219     0.00479600
    1300     1000     0.00214440     0.00101556     0.00151663     0.00247460     0.00417169     0.00676531
    1300     1050     0.00351553     0.00161583     0.00236916     0.00375845     0.00618493     0.00991335
