   mstop     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     950      850     0.00061477     0.00029050     0.00045113     0.00075889     0.00133313     0.00222338
     950      865     0.00032697     0.00015693     0.00024104     0.00040611     0.00070775     0.00117355
    1000       50     0.00506098     0.00235037     0.00331553     0.00509768     0.00818620     0.01281490
    1000      100     0.00224030     0.00103416     0.00146384     0.00224310     0.00355737     0.00552037
    1000      150     0.00129477     0.00065181     0.00092173     0.00140267     0.00222424     0.00341995
    1000      200     0.00089770     0.00046363     0.00066462     0.00102289     0.00162618     0.00250752
    1000      250     0.00061239     0.00030962     0.00045351     0.00071420     0.00116402     0.00181745
    1000      300     0.00048138     0.00023316     0.00035313     0.00057417     0.00095420     0.00151743
    1000      350     0.00036215     0.00017601     0.00026934     0.00044171     0.00074120     0.00118811
    1000      400     0.00029352     0.00013969     0.00021611     0.00035729     0.00060516     0.00097758
    1000      450     0.00027671     0.00013476     0.00021057     0.00035529     0.00061318     0.00100030
    1000      500     0.00023790     0.00010712     0.00017008     0.00029199     0.00051299     0.00084977
    1000      550     0.00022881     0.00010589     0.00016864     0.00028854     0.00050463     0.00083954
    1000      600     0.00022907     0.00010995     0.00017144     0.00029321     0.00051046     0.00084683
    1000      650     0.00020812     0.00009711     0.00015252     0.00026196     0.00046029     0.00076768
    1000      700     0.00021684     0.00010737     0.00016644     0.00028325     0.00049327     0.00081826
    1000      750     0.00023509     0.00011326     0.00017654     0.00030193     0.00053022     0.00088744
    1000      800     0.00027493     0.00013281     0.00020628     0.00035096     0.00061370     0.00102080
    1000      817     0.00030305     0.00014814     0.00022836     0.00038726     0.00068047     0.00113842
    1000      833     0.00033107     0.00015985     0.00024887     0.00041820     0.00073109     0.00121633
    1000      850     0.00033577     0.00016564     0.00025499     0.00043246     0.00075640     0.00126638
    1000      900     0.00057632     0.00026546     0.00041470     0.00070836     0.00124548     0.00209069
    1000      915     0.00030537     0.00014830     0.00022725     0.00038349     0.00067089     0.00112373
