      mg     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    2400      800     0.00112967     0.00056641     0.00082365     0.00128307     0.00207053     0.00320020
    2400     1000     0.00120403     0.00060143     0.00089983     0.00145134     0.00243477     0.00390352
    2400     1200     0.00125067     0.00061249     0.00093652     0.00155297     0.00268016     0.00441984
    2400     1400     0.00195894     0.00094855     0.00145726     0.00242970     0.00421017     0.00701367
    2400     1500     0.00183501     0.00088159     0.00135337     0.00225609     0.00392774     0.00653731
    2400     1600     0.00188556     0.00090104     0.00138999     0.00235463     0.00415804     0.00704402
    2400     1700     0.00213757     0.00105044     0.00159936     0.00268802     0.00472315     0.00793103
    2400     1800     0.00253080     0.00118858     0.00182339     0.00307444     0.00540434     0.00913385
    2400     1900     0.00358988     0.00171906     0.00258979     0.00431133     0.00751063     0.01263049
    2400     2000     0.00521602     0.00231085     0.00347214     0.00568914     0.00972433     0.01617593
    2400     2100     0.00924295     0.00378758     0.00557486     0.00898317     0.01506720     0.02472579
    2400     2200     0.01838023     0.00784176     0.01187500     0.01987052     0.03491535     0.05981264
    2500       25     0.00292431     0.00155660     0.00218062     0.00329319     0.00517020     0.00793331
    2500       50     0.00120109     0.00062828     0.00088036     0.00132946     0.00208727     0.00320227
    2500       75     0.00078310     0.00041979     0.00059066     0.00089522     0.00140555     0.00215658
    2500      150     0.00056389     0.00029330     0.00041282     0.00062576     0.00098254     0.00149319
    2500     1500     0.00167904     0.00081307     0.00124605     0.00210218     0.00369388     0.00620321
    2500     1600     0.00172377     0.00083683     0.00128405     0.00216598     0.00380581     0.00638896
    2500     1700     0.00203149     0.00096937     0.00148541     0.00250703     0.00440527     0.00749758
    2500     1800     0.00251728     0.00118715     0.00183060     0.00310088     0.00550011     0.00939907
    2500     1900     0.00263440     0.00124951     0.00190445     0.00319786     0.00562004     0.00950029
    2500     2000     0.00349327     0.00171699     0.00258734     0.00430671     0.00750117     0.01261894
    2500     2100     0.00622456     0.00257482     0.00384615     0.00627812     0.01073138     0.01784873
    2500     2200     0.00839215     0.00322077     0.00477136     0.00763335     0.01280473     0.02093294
    2500     2300     0.01683878     0.00771839     0.01164399     0.01917053     0.03322006     0.05613910
    2600        1     7.43912413     1.76637817     3.13313397     7.06610384    14.22029012    21.43063635
    2600       25     0.00294770     0.00156517     0.00219280     0.00331106     0.00519879     0.00797647
    2600       50     0.00123180     0.00066318     0.00092937     0.00140343     0.00219782     0.00334589
    2600       75     0.00082995     0.00043660     0.00061428     0.00093113     0.00145837     0.00223093
    2600      150     0.00058143     0.00030964     0.00043392     0.00065519     0.00102331     0.00156088
    2600      200     0.00059393     0.00030848     0.00043420     0.00065816     0.00102813     0.00156797
    2600      400     0.00072766     0.00036943     0.00051831     0.00077508     0.00120470     0.00180771
    2600      600     0.00095917     0.00048917     0.00068543     0.00103538     0.00160884     0.00243859
    2600      800     0.00102422     0.00052322     0.00075753     0.00117534     0.00187762     0.00289739
    2600     1000     0.00116277     0.00057540     0.00085277     0.00136508     0.00224613     0.00356988
    2600     1200     0.00124756     0.00060231     0.00091495     0.00151226     0.00258502     0.00422013
    2600     1400     0.00133382     0.00064531     0.00099003     0.00166915     0.00293346     0.00492574
    2600     1600     0.00177196     0.00089950     0.00136348     0.00228007     0.00395097     0.00660536
    2600     1700     0.00184889     0.00088752     0.00136960     0.00231982     0.00411438     0.00696226
    2600     1800     0.00226565     0.00107952     0.00166444     0.00281947     0.00504514     0.00854727
    2600     1900     0.00226684     0.00105394     0.00162531     0.00275515     0.00490743     0.00834993
    2600     2000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    2600     2100     0.00361493     0.00157482     0.00241276     0.00407180     0.00715408     0.01217540
    2600     2200     0.00505680     0.00229089     0.00344307     0.00564300     0.00964531     0.01604296
    2600     2300     0.01066462     0.00429478     0.00636485     0.01018077     0.01715916     0.02815798
    2600     2400     0.01763637     0.00808918     0.01208470     0.01971124     0.03370258     0.05666631
    2700       25     0.00319582     0.00168526     0.00236104     0.00356509     0.00558301     0.00849952
    2700       50     0.00121983     0.00063486     0.00088904     0.00134279     0.00210808     0.00321909
    2700       75     0.00079683     0.00041681     0.00058828     0.00088924     0.00139247     0.00211978
    2700      150     0.00060178     0.00031798     0.00044742     0.00067830     0.00106508     0.00161834
    2700     1700     0.00161372     0.00078068     0.00120315     0.00203976     0.00360111     0.00614069
    2700     1800     0.00172297     0.00086284     0.00132266     0.00223147     0.00392198     0.00665250
    2700     1900     0.00220401     0.00106617     0.00164405     0.00278488     0.00493961     0.00844124
    2700     2000     0.00271781     0.00127759     0.00196788     0.00333582     0.00588738     0.01000927
    2700     2100     0.00259553     0.00120996     0.00185924     0.00316264     0.00565828     0.00958621
    2700     2200     0.00365748     0.00173016     0.00261002     0.00434511     0.00756636     0.01268042
    2700     2300     0.00573540     0.00248850     0.00375137     0.00625002     0.01088168     0.01849615
    2700     2400     0.00981327     0.00400059     0.00588259     0.00947989     0.01605075     0.02632646
    2700     2500     0.01819295     0.00878985     0.01293828     0.02083832     0.03546002     0.05923231
    2800        1     1.84376670     0.68709998     1.13596656     2.28391742     4.59616138     6.92692652
    2800       25     0.00328672     0.00172073     0.00241055     0.00363980     0.00571470     0.00876712
    2800       50     0.00129193     0.00068170     0.00095498     0.00144221     0.00225860     0.00343836
    2800       75     0.00083501     0.00044596     0.00062746     0.00095111     0.00149334     0.00229126
    2800      150     0.00059361     0.00031386     0.00043974     0.00066392     0.00104240     0.00158424
    2800      200     0.00057663     0.00029901     0.00041903     0.00063270     0.00099068     0.00150834
    2800      400     0.00067777     0.00035454     0.00049461     0.00074396     0.00115622     0.00175267
    2800      600     0.00089006     0.00044843     0.00062851     0.00094902     0.00147498     0.00223570
    2800      800     0.00105208     0.00053821     0.00076472     0.00116798     0.00183373     0.00278685
    2800     1000     0.00116409     0.00057291     0.00084014     0.00133327     0.00217245     0.00342113
    2800     1200     0.00114181     0.00056114     0.00084318     0.00138188     0.00234021     0.00378065
    2800     1400     0.00130491     0.00063939     0.00096813     0.00161958     0.00279481     0.00464260
    2800     1600     0.00138616     0.00066344     0.00101700     0.00171580     0.00301566     0.00509854
    2800     1800     0.00177786     0.00084620     0.00130361     0.00220999     0.00391924     0.00669859
    2800     1900     0.00200404     0.00093386     0.00144803     0.00246439     0.00440865     0.00746852
    2800     2000     0.00218428     0.00105381     0.00162554     0.00275341     0.00492730     0.00834600
    2800     2100     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    2800     2200     0.00344939     0.00159653     0.00246225     0.00417120     0.00736425     0.01247988
    2800     2300     0.00383304     0.00177748     0.00273166     0.00455276     0.00792780     0.01333659
    2800     2400     0.00669166     0.00292327     0.00434565     0.00705649     0.01206715     0.01992258
    2800     2500     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    2800     2600     0.01854609     0.00795740     0.01199966     0.01998249     0.03495664     0.05976950
