msbottom     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1200      650     0.00025190     0.00012690     0.00019634     0.00032842     0.00056670     0.00093461
    1200      700     0.00025462     0.00012786     0.00019871     0.00033377     0.00057593     0.00094983
    1200      750     0.00023601     0.00011762     0.00018293     0.00030757     0.00053057     0.00087822
    1200      800     0.00024838     0.00012336     0.00019155     0.00032211     0.00056107     0.00092393
    1200      850     0.00025908     0.00013309     0.00020286     0.00034070     0.00058792     0.00096925
    1200      900     0.00027969     0.00014251     0.00021726     0.00036512     0.00063248     0.00104647
    1200      950     0.00038851     0.00019373     0.00029737     0.00049579     0.00085930     0.00142174
    1200     1000     0.00064095     0.00032652     0.00049825     0.00082639     0.00143267     0.00237031
    1200     1017     0.00093310     0.00047193     0.00072470     0.00120739     0.00210419     0.00348905
    1200     1033     0.00075371     0.00038313     0.00058381     0.00097948     0.00170696     0.00283011
    1200     1050     0.00073275     0.00038230     0.00058289     0.00096755     0.00166254     0.00273275
    1200     1100     0.00085998     0.00045009     0.00068352     0.00112914     0.00192099     0.00313725
    1250       50     0.01426733     0.00672714     0.00940862     0.01435333     0.02276128     0.03548852
    1250      100     0.00445756     0.00242490     0.00338899     0.00504774     0.00780439     0.01178357
    1250      150     0.00280427     0.00144042     0.00202094     0.00302158     0.00470724     0.00715762
    1250      200     0.00181692     0.00094841     0.00132919     0.00200699     0.00313516     0.00478134
    1250      250     0.00117865     0.00062539     0.00088822     0.00135678     0.00215158     0.00330797
    1250      300     0.00085030     0.00044793     0.00065158     0.00101452     0.00163695     0.00254185
    1250      350     0.00065944     0.00035038     0.00051395     0.00081569     0.00132921     0.00209325
    1250      400     0.00052643     0.00027123     0.00040621     0.00065509     0.00108324     0.00171471
    1250      450     0.00045265     0.00023596     0.00035440     0.00058073     0.00096956     0.00154754
    1250      500     0.00039192     0.00019724     0.00030138     0.00050032     0.00084718     0.00136323
    1250      550     0.00033427     0.00016803     0.00026007     0.00043023     0.00073560     0.00119188
    1250      600     0.00030155     0.00015158     0.00023411     0.00039212     0.00067633     0.00110345
    1250      650     0.00026906     0.00013439     0.00020750     0.00034709     0.00059910     0.00098781
    1250      700     0.00025567     0.00012797     0.00019879     0.00033400     0.00057625     0.00095050
    1250      750     0.00024341     0.00012145     0.00018877     0.00031747     0.00055000     0.00090994
    1250      800     0.00023395     0.00011748     0.00018230     0.00030662     0.00053146     0.00087909
    1250      850     0.00024059     0.00012113     0.00018731     0.00031349     0.00054342     0.00089897
    1250      900     0.00025100     0.00012736     0.00019664     0.00032928     0.00056785     0.00094000
    1250      950     0.00028806     0.00014566     0.00022196     0.00037252     0.00064262     0.00106002
    1250     1000     0.00036165     0.00018159     0.00027878     0.00046447     0.00080156     0.00132690
    1250     1050     0.00066680     0.00033658     0.00051670     0.00086147     0.00149370     0.00247070
    1250     1067     0.00093869     0.00047282     0.00072592     0.00120848     0.00208598     0.00343909
    1250     1083     0.00076103     0.00039102     0.00059295     0.00098047     0.00169130     0.00277915
    1250     1100     0.00079030     0.00040851     0.00062104     0.00102574     0.00176132     0.00289524
    1250     1150     0.00091801     0.00047635     0.00072492     0.00119665     0.00203603     0.00332633
    1300       50     0.01231033     0.00634156     0.00888224     0.01341656     0.02111558     0.03264385
    1300      100     0.00461016     0.00249284     0.00346162     0.00518943     0.00806379     0.01222252
    1300      150     0.00256136     0.00139073     0.00195106     0.00291755     0.00453475     0.00687283
    1300      200     0.00177896     0.00097594     0.00136730     0.00206460     0.00321698     0.00486712
    1300      250     0.00117439     0.00063011     0.00089530     0.00136764     0.00216320     0.00333232
    1300      300     0.00089642     0.00048420     0.00070104     0.00108732     0.00173739     0.00270535
    1300      350     0.00069919     0.00036968     0.00053695     0.00084521     0.00136362     0.00212694
    1300      400     0.00053077     0.00027867     0.00041519     0.00066648     0.00109698     0.00174373
    1300      450     0.00045833     0.00023893     0.00036200     0.00058861     0.00098244     0.00156893
    1300      500     0.00040436     0.00020751     0.00031616     0.00051599     0.00086581     0.00138777
    1300      550     0.00034300     0.00016938     0.00025990     0.00043353     0.00074081     0.00120510
